cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,anweight,tvtot,tvpol,rdtot,rdpol,nwsptot,nwsppol,nwspol,netusoft,netuse,netustm,ppltrst,pplfair,pplhlp,polintr,psppsgv,psppsgva,actrolg,actrolga,psppipl,psppipla,cptppol,cptppola,polcmpl,poldcs,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,clsprty,prtdgcl,mmbprty,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,prtyban,scnsenv,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,pstplonl,hmsfmlsh,hmsacld,prtvtat,prtvtaat,prtvtbat,prtvtcat,prtvtbe,prtvtabe,prtvtbbe,prtvtcbe,prtvtdbe,prtvtbg,prtvtabg,prtvtbbg,prtvtcbg,prtvtdbg,prtvtch,prtvtach,prtvtbch,prtvtcch,prtvtdch,prtvtech,prtvtfch,prtvtgch,prtvtcy,prtvtacy,prtvtbcy,prtvtcz,prtvtacz,prtvtbcz,prtvtccz,prtvtdcz,prtvtecz,prtvde1,prtvade1,prtvbde1,prtvcde1,prtvdde1,prtvede1,prtvde2,prtvade2,prtvbde2,prtvcde2,prtvdde2,prtvede2,prtvtdk,prtvtadk,prtvtbdk,prtvtcdk,prtvtddk,prtvtee,prtvtaee,prtvtbee,prtvtcee,prtvtdee,prtvteee,prtvtfee,prtvtgee,prtvtes,prtvtaes,prtvtbes,prtvtces,prtvtdes,prtvtees,prtvtfi,prtvtafi,prtvtbfi,prtvtcfi,prtvtdfi,prtvtfr,prtvtafr,prtvtbfr,prtvtcfr,prtvtdfr,prtvtgb,prtvtagb,prtvtbgb,prtvtcgb,prtvtgr,prtvtagr,prtvtbgr,prtvtcgr,prtvthr,prtvtahr,prtvthu,prtvtahu,prtvtbhu,prtvtchu,prtvtdhu,prtvtehu,prtvtfhu,prtvtie,prtvtaie,prtvtbie,prtvtcie,prtvtil,prtvtail,prtvtbil,prtvtcil,prtvtis,prtvtais,prtvtbis,prtvtcis,prtvtit,prtvtait,prtvtbit,prtvtcit,prtvlt1,prtvalt1,prtvblt1,prtvlt2,prtvalt2,prtvblt2,prtvlt3,prtvalt3,prtvblt3,prtvtlu,prtvtlv,prtvtalv,prtvtnl,prtvtanl,prtvtbnl,prtvtcnl,prtvtdnl,prtvtenl,prtvtfnl,prtvtgnl,prtvtno,prtvtano,prtvtbno,prtvtpl,prtvtapl,prtvtbpl,prtvtcpl,prtvtdpl,prtvtpt,prtvtapt,prtvtbpt,prtvtcpt,prtvtru,prtvtaru,prtvtbru,prtvtcru,prtvtdru,prtvtse,prtvtase,prtvtbse,prtvtcse,prtvtsi,prtvtasi,prtvtbsi,prtvtcsi,prtvtdsi,prtvtesi,prtvtfsi,prtvtsk,prtvtask,prtvtbsk,prtvtcsk,prtvtdsk,prtvttr,prtvtatr,prtvtua,prtvtaua,prtvtbua,prtvtcua,prtclat,prtclaat,prtclcat,prtcldat,prtclbe,prtclabe,prtclbbe,prtclcbe,prtcldbe,prtclbg,prtclabg,prtclbbg,prtclcbg,prtcldbg,prtclch,prtclach,prtclbch,prtclcch,prtcldch,prtclech,prtclfch,prtclgch,prtclcy,prtclacy,prtclbcy,prtclcz,prtclacz,prtclbcz,prtclccz,prtcldcz,prtclecz,prtclde,prtclade,prtclbde,prtclcde,prtcldde,prtclede,prtcldk,prtcladk,prtclbdk,prtclcdk,prtclddk,prtclee,prtclaee,prtclbee,prtclcee,prtcldee,prtcleee,prtclfee,prtclgee,prtcles,prtclaes,prtclbes,prtclces,prtcldes,prtclees,prtclfes,prtclfi,prtclafi,prtclbfi,prtclcfi,prtcldfi,prtclefi,prtclfr,prtclafr,prtclbfr,prtclcfr,prtcldfr,prtclefr,prtclffr,prtclgb,prtclagb,prtclbgb,prtclcgb,prtclgr,prtclagr,prtclbgr,prtclcgr,prtclhr,prtclahr,prtclhu,prtclahu,prtclbhu,prtclchu,prtcldhu,prtclehu,prtclfhu,prtclghu,prtclie,prtclaie,prtclbie,prtclcie,prtcldie,prtcleie,prtclil,prtclail,prtclbil,prtclcil,prtcldil,prtclis,prtclais,prtclbis,prtclcis,prtclit,prtclait,prtclbit,prtclcit,prtcldit,prtcllt,prtclalt,prtclblt,prtcllu,prtcllv,prtclalv,prtclnl,prtclanl,prtclbnl,prtclcnl,prtcldnl,prtclenl,prtclfnl,prtclno,prtclano,prtclbno,prtclpl,prtclapl,prtclbpl,prtclcpl,prtcldpl,prtclepl,prtclfpl,prtclgpl,prtclhpl,prtclpt,prtclapt,prtclbpt,prtclcpt,prtcldpt,prtclept,prtclru,prtclaru,prtclbru,prtclcru,prtcldru,prtclse,prtclase,prtclbse,prtclcse,prtclsi,prtclasi,prtclbsi,prtclcsi,prtcldsi,prtclesi,prtclfsi,prtclsk,prtclask,prtclbsk,prtclcsk,prtcldsk,prtcltr,prtclatr,prtclua,prtclaua,prtclbua,prtclcua,prtcldua,prtmbat,prtmbaat,prtmbbe,prtmbabe,prtmbbbe,prtmbcbe,prtmbbg,prtmbabg,prtmbbbg,prtmbch,prtmbach,prtmbbch,prtmbcch,prtmbcy,prtmbcz,prtmbacz,prtmbbcz,prtmbde,prtmbade,prtmbbde,prtmbcde,prtmbdk,prtmbadk,prtmbbdk,prtmbee,prtmbaee,prtmbbee,prtmbcee,prtmbes,prtmbaes,prtmbbes,prtmbfi,prtmbafi,prtmbbfi,prtmbfr,prtmbafr,prtmbbfr,prtmbcfr,prtmbgb,prtmbagb,prtmbgr,prtmbagr,prtmbbgr,prtmbcgr,prtmbhr,prtmbhu,prtmbahu,prtmbbhu,prtmbchu,prtmbie,prtmbaie,prtmbbie,prtmbil,prtmbail,prtmbbil,prtmbit,prtmbait,prtmblu,prtmbnl,prtmbanl,prtmbbnl,prtmbcnl,prtmbno,prtmbano,prtmbpl,prtmbapl,prtmbbpl,prtmbcpl,prtmbdpl,prtmbpt,prtmbapt,prtmbbpt,prtmbru,prtmbaru,prtmbbru,prtmbse,prtmbase,prtmbsi,prtmbasi,prtmbbsi,prtmbcsi,prtmbsk,prtmbask,prtmbbsk,prtmbtr,prtmbatr,prtmbua,prtmbaua,prtmbbua,prtmbcua,hhmmb,gndr,gndr2,gndr3,gndr4,gndr5,gndr6,gndr7,gndr8,gndr9,gndr10,gndr11,gndr12,gndr13,gndr14,gndr15,gndr16,gndr17,gndr18,yrbrn,agea,yrbrn2,yrbrn3,yrbrn4,yrbrn5,yrbrn6,yrbrn7,yrbrn8,yrbrn9,yrbrn10,yrbrn11,yrbrn12,yrbrn13,yrbrn14,yrbrn15,yrbrn16,yrbrn17,yrbrn18,rship2,rshipa2,rship3,rshipa3,rship4,rshipa4,rship5,rshipa5,rship6,rshipa6,rship7,rshipa7,rship8,rshipa8,rship9,rshipa9,rship10,rshipa10,rship11,rshipa11,rship12,rshipa12,rship13,rshipa13,rship14,rshipa14,rship15,rshipa15,rship16,rshipa16,rship17,rshipa17,rship18,rshipa18,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
BE,ESS1-9e01,1.0,10.12.2020,27783,ESS9e03,9,3,8492,0.995649933815002,1.0700204372406,0.535633673,0.573138976984249,,,,,,,10,5,,600,4,5,5,3,,2,,1,,2,,1,,,3,6,6,3,3,3,4,1,2,2,2,2,2,2,2,1,2,,6,8,9,4,5,7,6,2,1,,,2,2,3,3,5,6,5,2,5,1,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,2,1,6,6,6,6,6,6,,,,,,,,,1978,41,1968,2002,2003,6666,6666,6666,6666,6666,6666,,,,,,,,,1,1,2,2,2,2,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,,,,,,,,4,6,2,3,3,4,5,3,2,3,2,2,2,2,6,4,4,2,2,3,2
BE,ESS1-9e01,1.0,10.12.2020,27784,ESS9e03,9,3,8611,1.00277733802795,0.931426882743835,0.535633673,0.498903602335021,,,,,,,30,5,,120,5,3,5,3,,2,,1,,1,,1,,,5,5,6,3,3,4,4,1,2,2,2,2,2,2,2,2,6,,5,7,5,4,4,4,6,2,2,,,5,2,2,2,5,5,5,2,5,2,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,2,1,6,6,6,6,6,6,,,,,,,,,1978,41,1977,2006,2009,6666,6666,6666,6666,6666,6666,,,,,,,,,1,1,2,2,2,2,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,,,,,,,,2,4,3,2,2,2,2,2,4,3,2,2,2,2,2,3,3,2,3,2,2
BE,ESS1-9e01,1.0,10.12.2020,27785,ESS9e03,9,3,8669,1.0120050907135,0.930274784564972,0.535633673,0.49828649975582,,,,,,,30,5,,180,4,4,6,3,,2,,3,,3,,2,,,6,8,9,6,5,8,6,3,2,2,2,2,2,2,2,1,2,,88,9,8,6,9,9,9,4,2,,,4,3,3,2,3,6,5,2,5,1,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,2,1,1,6,6,6,6,6,,,,,,,,,2002,16,1977,1977,2004,2007,6666,6666,6666,6666,6666,,,,,,,,,3,3,3,3,4,4,4,4,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,,,,,,,,5,3,2,3,3,4,4,3,3,1,2,2,2,4,3,5,3,2,2,2,1
BE,ESS1-9e01,1.0,10.12.2020,27786,ESS9e03,9,3,8709,1.0120050907135,0.925836086273193,0.535633673,0.495908983486455,,,,,,,60,2,,6666,8,7,6,4,,1,,1,,2,,1,,,8,8,8,5,5,5,5,1,2,2,2,2,2,2,2,2,6,,5,8,8,5,8,9,9,1,1,,,2,2,2,2,8,4,5,2,4,3,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,2,6,6,6,6,6,6,6,,,,,,,,,1965,53,1959,1991,6666,6666,6666,6666,6666,6666,6666,,,,,,,,,1,1,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,,,,,,,,5,5,1,4,3,5,5,2,1,3,2,2,2,4,6,2,6,2,2,5,5
BE,ESS1-9e01,1.0,10.12.2020,27787,ESS9e03,9,3,8724,1.0120050907135,0.700368225574493,0.535633673,0.375140805116958,,,,,,,20,5,,360,7,7,6,3,,2,,2,,2,,2,,,3,3,4,3,3,3,3,2,2,2,2,2,1,2,2,2,6,,1,8,6,5,4,7,8,2,2,,,7,3,4,3,6,4,4,2,4,2,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,2,1,6,6,6,6,6,6,,,,,,,,,1992,26,1967,1971,2004,6666,6666,6666,6666,6666,6666,,,,,,,,,3,3,3,3,4,4,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,,,,,,,,2,1,3,1,4,2,5,5,5,2,2,4,2,5,2,5,3,2,2,5,2
BE,ESS1-9e01,1.0,10.12.2020,27788,ESS9e03,9,3,8735,0.995649933815002,1.02920007705688,0.535633673,0.551274217525862,,,,,,,30,5,,360,7,7,6,1,,4,,3,,4,,3,,,6,7,8,7,7,6,7,1,2,2,1,2,1,2,2,1,2,,8,8,7,6,8,7,8,1,1,,,3,2,2,2,3,5,8,2,5,1,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,6,6,6,6,6,6,6,6,,,,,,,,,1992,26,1990,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,,,,,,,,2,3,2,2,3,1,2,2,3,2,1,2,3,4,3,3,1,2,2,2,3
BE,ESS1-9e01,1.0,10.12.2020,27789,ESS9e03,9,3,8763,1.01401150226593,1.58057677745819,0.535633673,0.846610144768434,,,,,,,10,5,,15,8,5,3,3,,3,,1,,3,,3,,,6,8,9,4,6,3,3,1,2,2,2,2,2,2,2,1,3,,6,9,5,6,8,8,10,4,2,,,1,3,3,3,5,8,5,2,2,5,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,6,6,6,6,6,6,6,6,,,,,,,,,1957,61,1956,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,,,,,,,,5,6,2,6,2,5,2,2,2,2,3,2,5,2,5,2,3,2,2,3,3
BE,ESS1-9e01,1.0,10.12.2020,27790,ESS9e03,9,3,8778,1.01401150226593,1.31846642494202,0.535633673,0.706215013918871,,,,,,,30,5,,240,5,5,5,4,,3,,1,,2,,1,,,5,5,5,5,5,5,5,3,2,2,2,2,2,2,2,2,6,,4,8,6,5,5,88,10,2,5,,,7,1,1,1,5,6,5,2,2,5,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,6,6,6,6,6,6,6,6,,,,,,,,,1968,50,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,,,,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,,,,,,,,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
BE,ESS1-9e01,1.0,10.12.2020,27791,ESS9e03,9,3,8793,0.997431874275208,0.867621421813965,0.535633673,0.464727248939696,,,,,,,30,5,,300,8,7,7,3,,1,,3,,3,,3,,,6,5,7,5,6,6,5,1,1,2,1,1,2,2,2,2,6,,7,7,5,5,5,7,7,2,2,,,7,2,2,2,5,6,7,2,4,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,6,6,6,6,6,6,6,6,,,,,,,,,1969,49,1967,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,,,,,,,,3,5,3,3,2,2,3,4,3,2,3,1,3,3,5,2,3,2,3,3,2
BE,ESS1-9e01,1.0,10.12.2020,27792,ESS9e03,9,3,8844,1.0120050907135,0.879679262638092,0.535633673,0.471185834508773,,,,,,,15,5,,150,5,3,5,3,,1,,1,,1,,1,,,2,5,7,3,3,2,0,1,2,2,2,2,2,2,2,2,6,,7,9,5,1,3,8,5,1,1,,,5,2,3,3,1,3,1,2,5,2,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,2,2,6,6,6,6,6,6,,,,,,,,,1989,29,1989,2010,2013,6666,6666,6666,6666,6666,6666,,,,,,,,,1,1,2,2,2,2,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,,,,,,,,2,4,1,3,2,1,5,3,1,1,3,1,4,2,1,6,3,1,1,3,1
BE,ESS1-9e01,1.0,10.12.2020,27793,ESS9e03,9,3,8858,1.00277745723724,0.975572228431702,0.535633673,0.522549335991667,,,,,,,1160,5,,150,4,3,3,4,,1,,2,,1,,1,,,6,8,8,5,4,7,5,1,2,2,2,2,2,2,2,1,4,,7,8,8,8,7,9,8,1,1,,,2,4,4,4,5,5,6,2,1,1,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,6,6,6,6,6,6,6,6,,,,,,,,,1986,33,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,,,,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,,,,,,,,3,1,1,2,2,1,4,2,3,2,2,2,1,1,1,3,2,2,2,2,2
BE,ESS1-9e01,1.0,10.12.2020,27794,ESS9e03,9,3,8877,0.977570533752441,0.624287843704224,0.535633673,0.334389590732543,,,,,,,75,5,,40,4,6,5,3,,3,,3,,3,,2,,,6,6,7,6,6,6,5,1,2,2,1,2,2,2,2,1,2,,6,8,6,5,6,6,6,3,1,,,8,2,2,2,7,6,5,2,3,2,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,6,6,6,6,6,6,6,6,,,,,,,,,1952,66,1952,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,,,,,,,,3,5,3,3,3,3,3,3,3,3,2,2,3,2,3,2,3,3,2,3,3
BE,ESS1-9e01,1.0,10.12.2020,27795,ESS9e03,9,3,8883,1.00277733802795,0.956582009792328,0.535633673,0.512377535430787,,,,,,,30,5,,240,3,2,3,2,,3,,1,,1,,1,,,7,8,9,7,7,5,5,3,2,2,2,2,2,2,2,2,6,,5,8,5,3,7,8,8,2,2,,,5,2,2,2,5,5,5,2,4,2,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,2,2,6,6,6,6,6,6,,,,,,,,,1981,38,1978,2012,2013,6666,6666,6666,6666,6666,6666,,,,,,,,,1,1,2,2,2,2,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,,,,,,,,2,3,2,4,2,2,4,2,4,2,2,5,2,2,3,2,3,2,3,2,4
